clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
It is hereby agreed that the monthly rent of Rs. 20000/- shall be paid by the Tenant to the Lessor on or before the 5th day of each calendar month.,Rent Payment,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, confidentiality obligations of the appointee shall survive termination for a period of 3 months.",Confidentiality,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the rent of Rs. 20000/- may be revised by the Lessor after 3 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the security deposit of Rs. 20000/- shall be forfeited entirely if the resident vacates before 60 months.",Security Deposit,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the security deposit of Rs. 75000/- shall be refunded within 60 days, subject to inspection by the Lessor.",Security Deposit,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the rent of Rs. 30000/- may be revised by the Lessor after 3 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"The non-compete restriction applies for 36 months and covers a broad, unspecified range of industries.",Non-Compete,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the probation period of 3 months may be extended by the Company based on performance review.",Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that this Agreement may be renewed for a further term of 12 months upon mutual written consent at the same rent.,Renewal,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, standard working hours shall be 8 hours per day, five days a week, as per company policy.",Working Hours,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Employer may revise terms relating to job role based on operational requirements with reasonable notice. Clause 2.,Job Role,Employment Agreement,Caution,"Indian Contract Act, 1872",India
"Pursuant to this Agreement, the loan recipient shall repay the loan in equal monthly instalments over 9 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the Employer reserves the right to withdraw the appointment of the appointee at any time before or after joining without reason.",Appointment,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Employee shall cooperate in matters concerning termination. Clause 379.,Termination,Employment Agreement,Safe,"Industrial Relations Code, 2020",India
"Subject to the terms herein, minor repairs up to Rs. 5000/- shall be borne by the occupant; major repairs shall be borne by the property owner.",Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the financial institution agrees to disburse a loan amount of Rs. 200000/- to the loan recipient as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, in case of default, the loan recipient shall be given 10 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the security deposit of Rs. 75000/- paid by the Lessee shall be non-refundable under any circumstances.",Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employer may enforce restrictions regarding benefits beyond reasonable necessity. Clause 108.,Benefits,Employment Agreement,Risky,"Code on Social Security, 2020",India
"In accordance with this Agreement, rent of Rs. 6000/- may be revised by the hostel/PG management with 15 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, salary of Rs. 150000/- is subject to annual review and may be revised at the discretion of the management.",Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, damage liability shall be assessed jointly by management and the resident before deduction from deposit.",Damage Liability,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, the probation period of 3 months may be extended by the Employer based on performance review.",Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The notice period during probation shall be 15 days for the employee and 7 days for the Company.,Probation Notice,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Disputes Act 1947 / Labour Codes 2020 / Payment of Wages Act 1936,India
"For the purposes of this Agreement, the Employer may require the staff member to work unlimited hours without additional compensation.",Working Hours,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the Lessee shall not sublet the premises without the prior written consent of the Lessor.",Subletting,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the appointee shall be entitled to 7 days of paid leave per year, as per applicable labour law.",Leave,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
Minor repairs up to Rs. 3000/- shall be borne by the occupant; major repairs shall be borne by the Lessor.,Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the rent of Rs. 12000/- may be revised by the Landlord after 3 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, salary of Rs. 40000/- is subject to annual review and may be revised at the discretion of the management.",Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the Borrower shall repay the loan in equal monthly instalments over 60 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that a grace period of 45 days shall be provided before any late payment charge is levied.,Late Payment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the Lessor may terminate this Agreement and demand vacation of premises with less than 20 days notice.",Notice Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that a late payment penalty of 10% per month shall apply if rent is delayed beyond 45 days.,Late Payment Penalty,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the loan amount of Rs. 500000/- may be disbursed in tranches at the discretion of the Bank.",Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the rent of Rs. 12000/- may be revised by the Lessor after 9 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the monthly rent of Rs. 20000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the Company may revise the code of conduct from time to time and the Employee shall be bound by such revisions.",Code of Conduct,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, a full refund shall be issued within 60 days if the product/service is defective or not as described.",Refund Policy,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Under this clause, repair costs shall be assessed jointly by the property owner and the occupant before being apportioned.",Repairs,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, personal data may be shared with select third-party partners for marketing purposes unless opted out.",Data Usage,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
The duration or conditions of termination may be extended upon documented justification. Clause 299.,Termination,Employment Agreement,Caution,"Industrial Relations Code, 2020",India
